Date,BrandName,ProductName,Reason,Company
2010-12-10T00:00:00.0000000,Yours Truly,Frozen Dessert Cones ,Undeclared Milk,"Toffuti Brands, Inc."
2010-12-10T00:00:00.0000000,Brinkman's,Barbecue Sauce ,Undeclared milk and soy,Brinkman Turkey Farms Inc.
2010-12-09T00:00:00.0000000,"Refenesen, Select, QC Medifin, Others",Cold Decongestant Tablets ,"Mislabeled: Acetaminophen, phenylephrine, and chlorpheniramine maleate not included",Reese Pharmaceutical Company
2010-12-09T00:00:00.0000000,Rolaids,Rolaids Soft Chews ,"Foreign materials, including metal and wood particles","McNeil Consumer Healthcare, Division of McNEIL-PPC, Inc."
2010-12-08T00:00:00.0000000,El Guapo,Shelled Walnuts ,Salmonella,Mojave Foods Corporation
2010-12-07T00:00:00.0000000,Pablo's Produce of USA,Spreads ,Salmonella,"Pablo's Produce, Inc."
2010-12-06T00:00:00.0000000,Qualitat Fisch Kompass,Dried fish Vobla gutted ,Clostridium botulinum,"S&S; Food, Inc."
2010-12-02T00:00:00.0000000,Duro Extend,"Dietary Supplements, Duro Extend Capsules For Men ",Unapproved drug - contains Sulfoaidenafil,Intelli Health Products
2010-11-30T00:00:00.0000000,"Frontier Bulk, Whole Foods 365",Nutmeg ,Salmonella,Frontier Natural Products Co-op
2010-11-30T00:00:00.0000000,Rushing Waters Fisheries,Spreads ,Listeria monocytogenes,Rushing Waters Fisheries
2010-11-29T00:00:00.0000000,Golden Dipt,All-Purpose Batter ,Undeclared egg,"McCormick & Company, Incorporated"
2010-11-29T00:00:00.0000000,"Mylanta, Alternagel",Mylanta and Alternagel Liquid Products ,Undeclared alcohol from flavoring agents,"Johnson & Johnson-Merck Consumer Pharmaceuticals, Co."
2010-11-24T00:00:00.0000000,Bravo Farms,Cheese ,"E. coli O157:H7, Listeria monocytogenes",Whole Foods Market
2010-11-24T00:00:00.0000000,Triton,Pole Mount Infusion Pumps ,Pump Door Open Alarm May Malfunction,"WalkMed Infusion, LLC"
2010-11-24T00:00:00.0000000,Lobby Shoppes,Popcorn ,Undeclared milk and soy,"Lobby Shoppes, Inc."
2010-11-24T00:00:00.0000000,Tylenol,Tylenol Cold Liquid Products ,Labeling update,McNeil Consumer Healthcare
2010-11-23T00:00:00.0000000,Dagoba,Candy ,Salmonella,Artisan Confections Company
2010-11-23T00:00:00.0000000,Bravo Farms,Cheese ,"E. coli O157:H7, Listeria monocytogenes",Bravo Farms
2010-11-23T00:00:00.0000000,HiRes 90K,Cochlear Implants ,"May malfunction, causing severe pain, overly loud sounds and/or shocking sensations",Advanced Bionics
2010-11-22T00:00:00.0000000,Jay's,Potato Chips ,Undeclared milk,Krunchers! Inc.
2010-11-17T00:00:00.0000000,Del Bueno,Cheese ,Listeria monocytogenes,Del Bueno
2010-11-15T00:00:00.0000000,Rolaids, ,Uncharacteristic consistency or texture,McNeil Consumer Healthcare
2010-11-15T00:00:00.0000000,"Benadryl, Motrin","Children's Benadryl, Children's Motrin ",Insufficiencies in the development of the manufacturing process,McNeil Consumer Healthcare
2010-11-13T00:00:00.0000000,Liz Lovely,Cookies ,Undeclared milk,Liz Lovely
2010-11-12T00:00:00.0000000,Grow Grove Notes, ,Undeclared sulfites,S&M; (U.S.A.) Enterprise Corp.
2010-11-11T00:00:00.0000000,Mauri,Gorgonzola Cheese ,E. coli O157:H7,DPI Specialty Foods
2010-11-10T00:00:00.0000000,Mauri,Gorgonzola Cheese ,E. coli O157:H7,DPI Specialty Foods
2010-11-09T00:00:00.0000000,Pippin, ,Salmonella,"Cal-Maine Foods, Inc."
2010-11-08T00:00:00.0000000,Bravo Farms,Dutch Style Gouda ,E. coli O157:H7,Bravo Farms
2010-11-08T00:00:00.0000000,fresh&easy;,Cookie Dough ,Undeclared peanuts,Fresh & Easy Neighborhood Market
2010-11-05T00:00:00.0000000,Triton,Triton Pole Mount Infusion Pumps ,Pump Door Open Alarm May Malfunction,"WalkMed Infusion, LLC"
2010-11-05T00:00:00.0000000,Baugher's,Apple Cider ,E. coli O157:H7,"Baugher Enterprise, Inc."
2010-11-05T00:00:00.0000000,"Sunny Meadow, Springfield Grocer, Sun Valley, more",Shell Eggs ,Salmonella,"Cal-Maine Foods, Inc."
2010-11-05T00:00:00.0000000,"Bistro, CA Pizza Kitchen, Chef Solutions, Fish House Foods, etc.","Cilantro containing products: Salads, Dips, Ceviche, Dressing ",Salmonella in Cilantro,Orval Kent Food Company
2010-11-04T00:00:00.0000000,Actavis,25 mcg/h Fentanyl patches ,Accelerated Release of Fentanyl,Actavis U. S.
2010-11-04T00:00:00.0000000,Baugher's,Apple Cider ,E. coli O157:H7,Baugher's
2010-11-03T00:00:00.0000000,Beaver Street,Tuna Loins ,Elevated Levels of Histamine,"Beaver Street Fisheries, Inc."
2010-10-29T00:00:00.0000000,Octopus,Tissue Stabilizer ,Can fracture during use,Medtronic Inc.
2010-10-28T00:00:00.0000000,Tuv Taam Salads,Nova Lox Salad ,Listeria monocytogenes,Kosher First LLC
2010-10-27T00:00:00.0000000,"Sandoz, Parenta",Methotrexate injection ,May contain glass flakes,Sandoz Inc.
2010-10-27T00:00:00.0000000,B. Braun,heparin ,trace amounts of contaminant,B. Braun Medical Inc.
2010-10-27T00:00:00.0000000,Duro Extend,Duro Extend Capsules For Men ,Unapproved drug - contains Sulfoaidenafil,Intelli Health Products
2010-10-27T00:00:00.0000000,VITEK® 2,VITEK® 2 Gram Negative Susceptibility Cards ,Incorrect results,"bioMérieux, Inc."
2010-10-23T00:00:00.0000000,Hyland,Teething tablets ,The product may contain inconsistent amounts of the substance belladonna,Standard Homeopathic Company
2010-10-22T00:00:00.0000000,Mega Pops,Flavored lollipops ,May contain foreign particles,Colombina S.A.
2010-10-22T00:00:00.0000000,Nestle,Raisinets ,Undeclared peanuts,Nestle USA
2010-10-21T00:00:00.0000000,Tomi,Dried Seafood Products ,Clostridium botulinum,"Foremost Foods International, Inc."
2010-10-21T00:00:00.0000000,"Universal, Kruse Perfection",Turkey Feed ,Contaminated with monensin,"Western Milling, LLC"
2010-10-21T00:00:00.0000000,Actavis,Fentanyl patch ,released its active ingredient faster than the approved specification,Actavis Inc.
2010-10-21T00:00:00.0000000,Del Monte Fresh,Cantaloupes ,Salmonella,"Del Monte Fresh Produce N.A., Inc."
2010-10-20T00:00:00.0000000,Sangar,fresh cut produce ,Listeria monocytogenes,Sangar Fresh Cut Produce
2010-10-18T00:00:00.0000000,Tylenol,"Over the counter (OTC) products, 8 Hour Caplets ","Uncharacteristic smell caused by the presence of trace amounts of a chemical called 2,4,6-tribromoanisole (TBA)",McNeil Consumer Healthcare
2010-10-15T00:00:00.0000000,Alaris,PC Units ,"may experience an intermittent communication error, freezing screen",CareFusion
2010-10-15T00:00:00.0000000,Pictsweet,Frozen Green Peas ,Glass,Pictsweet Company
2010-10-15T00:00:00.0000000,,Beverages ,Manufactured without the required processes in place to control food borne pathogens,Pats Exotic Beverages Inc.
2010-10-14T00:00:00.0000000,Excelsior,Prefilled Saline Flush Syringe ,Potential leak and loss of sterility,Excelsior Medical Corporation
2010-10-14T00:00:00.0000000,Pictsweet,Breaded Okra ,Undeclared milk product,Pictsweet Company
2010-10-09T00:00:00.0000000,Lipitor, ,off odor,Pfizer
2010-10-08T00:00:00.0000000,Blue,Dog food ,Excess Vitamin D,"Blue Buffalo Company, Ltd."
2010-10-07T00:00:00.0000000,"Living Foods, Inc.",Alfalfa Sprouts ,Salmonella,"Living Foods, Inc."
2010-10-07T00:00:00.0000000,Haifa Smoked Fish,Smoked Fish ,Listeria monocytogenes,"D & M Smoked Fish, Inc. (DBA Haifa Smoked Fish)"
2010-10-07T00:00:00.0000000,Novedex XT,Novedex XT ,may contain an Aromatase Inhibitor,Gaspari Nutrition
2010-10-06T00:00:00.0000000,La Nuestra,Ice Cream ,Salmonella,Montalvan's Sales
2010-10-04T00:00:00.0000000,Oregon Bread,Western Hazelnut Bread ,"Undeclared cashews, almonds and Brazil nuts",Lucerne Foods
2010-09-30T00:00:00.0000000,Rising Dough,Cranberry Muffins ,Undeclared walnuts,Rising Dough Bakery
2010-09-30T00:00:00.0000000,Hostess, ,Undeclared walnuts,"Hostess Brands, Inc."
2010-09-24T00:00:00.0000000,Epogen,EPOGEN® and PROCRIT® (Epoetin alfa) vials ,Glass flakes in vials,Amgen
2010-09-24T00:00:00.0000000,ThermaCare,ThermaCare HeatWraps Menstrual ,Potential leak of the components contained in the wrap,"Pfizer, Inc."
2010-09-23T00:00:00.0000000,Red Lotus Bakery,Butter Cup Cakes ,Undeclared eggs,Red Lotus Bakery
2010-09-22T00:00:00.0000000,Western Family,Ice cream ,Undeclared peanuts,Deluxe Ice Cream
2010-09-22T00:00:00.0000000,Suzipoo,Candy ,Undeclared peanuts,Suzipoo
2010-09-22T00:00:00.0000000,Similac,Powder Infant Formula ,Insect contamination,Abbott
2010-09-22T00:00:00.0000000,Nature Valley,Granola Thins ,Undeclared peanut butter,General Mills
2010-09-21T00:00:00.0000000,Garvi Gujarat,Star noodles TamTam ,Undeclared peanuts,House of Spices
2010-09-17T00:00:00.0000000,Fresh to Go,Cookies ,Undeclared walnuts,Dough Masters Inc.
2010-09-16T00:00:00.0000000,Advanced Muscle Science,"Arom-X, Arom-X UTT, Arom-XL, 4-AD, and Decavol ",may contain an Aromatase Inhibitor,Advanced Muscle Science
2010-09-16T00:00:00.0000000,"Hallmark, Peacock, Quality Ocean International, more",packaged crab meat products ,Listeria monocytogenes,Hallmark Fisheries
2010-09-16T00:00:00.0000000,IForce,Reversitol capsules ,May contain an Aromatase Inhibitor,"Tribravus Enterprises, LLC d/b/a/ iForce Nutrition, LLC"
2010-09-15T00:00:00.0000000,Fizogen Precision Technologies,Off Cycle II Hardcore ,may contain an Aromatase Inhibitor,Fizogen Precision Technologies
2010-09-14T00:00:00.0000000,Clomed,Clomed ,may contain an Aromatase Inhibitor,KiloSports Inc.
2010-09-14T00:00:00.0000000,BagEasy,Manual Resuscitation Devices ,Disconnection at the retention ring of the patient port manifold causes the unit to be inoperable.,"Westmed, Inc."
2010-09-13T00:00:00.0000000,"G.E.T Genetic Edge Technologies, Inc.",ArimaDex ,may contain an Aromatase Inhibitor,Genetic Edge Technologies
2010-09-08T00:00:00.0000000,"Midland Farms, Corrado's Market, Jersey Dairy Farms, more", ,Improper Pasteurization,Midland Farms
2010-09-03T00:00:00.0000000,,Egg Noodle ,Salmonella,Real Taste Noodle Manufacture
2010-09-03T00:00:00.0000000,"Market Pantry, Sparboe Farms",Eggs ,Salmonella,Sparboe Farms
2010-09-03T00:00:00.0000000,Hartz Naturals,Dog treats ,Salmonella,Hartz Mountain Corporation
2010-09-02T00:00:00.0000000,"Morningland Dairy, Ozark Hills Farm",Cheese ,Listeria monocytogenes and Staphylococcus aureus,Whole Foods Market
2010-09-01T00:00:00.0000000,Torn & Glasser,"Mixed nuts, no peanuts ",Undeclared Peanuts,Torn & Glasser
2010-09-01T00:00:00.0000000,"UpRiver, Nordic Choice",Atlantic Smoked Salmon ,Potential to be contaminated with Listeria monocytogenes,MKG Provisions
2010-09-01T00:00:00.0000000,Woodpecker,Mediterranean Mix ,Undeclared sulfites,"Cibo Vita, Inc."
2010-08-31T00:00:00.0000000,Iams, ,Salmonella,The Procter & Gamble Company
2010-08-30T00:00:00.0000000,"Morningland Dairy, Ozark Hills Farm",Cheese ,Listeria monocytogenes and Staphylococcus aureus,"Morningland Dairy of the Ozarks, LLC"
2010-08-29T00:00:00.0000000,Taste Good,Egg noodles and wonton skins ,Salmonella,"Good Taste Noodle MFG., Inc."
2010-08-29T00:00:00.0000000,Iams, ,Salmonella,The Procter & Gamble Company
2010-08-27T00:00:00.0000000,"QUESERIA CHIPILO, QUESO CHIPILO, CHIPILO, more", ,Listeria monocytogenes,QUESERIA CHIPILO INC.
2010-08-27T00:00:00.0000000,, ,Salmonella,Sparboe Farms
2010-08-27T00:00:00.0000000,Paleta California,Frozen Mamey Fruit Bars ,Salmonella typhi,Paleta California Co.
2010-08-26T00:00:00.0000000,Torn & Glasser,"Mixed nuts, no peanuts ",Undeclared Peanuts,Torn & Glasser
2010-08-26T00:00:00.0000000,"Wagon Trail, West Creek, Sam’s",Eggs ,Salmonella,"Cal-Maine Foods, Inc."
2010-08-26T00:00:00.0000000,"Queseria Chipilo, Chipilo, Aztlan, more",Cheese ,Listeria monocytogenes,"Queseria Chipilo, Inc."
2010-08-25T00:00:00.0000000,Cardenas Market,Eggs ,Salmonella,Wright County Egg
2010-08-25T00:00:00.0000000,"Trafficanda Ranch, Trafficanda Family",Eggs ,Salmonella,Trafficanda Egg Ranch
2010-08-24T00:00:00.0000000,MasXtreme,Dietary supplement capsules ,"Undeclared drug substance: Aminotadalafil, an analog of tadalafil","Natural Wellness, Inc."
2010-08-24T00:00:00.0000000,Queso El Azteca, ,Listeria monocytogenes,Azteca Linda Corp.
2010-08-23T00:00:00.0000000,"Yucaipa Valley, Albertsons, Mountain Dairy, Farmer’s Gems",Eggs ,Salmonella,"Moark, LLC"
2010-08-20T00:00:00.0000000,Aunt Patty's,Whole Raw Pistachio and Whole Raw Pistachio Kernels ,Salmonella,"GloryBee Foods, Inc."
2010-08-20T00:00:00.0000000,NeuroBalloon,NeuroBalloon Catheter ,Potential complications concerning inflation or deflation of the balloon component during intracranial procedures,Integra LifeSciences Corporation
2010-08-20T00:00:00.0000000,Milton's,Bread ,Undeclared milk,Milton's Baking Company
2010-08-20T00:00:00.0000000,"Bayview, Becky, Cal, more",Eggs ,Salmonella,NuCal Foods
2010-08-20T00:00:00.0000000,"Hillandale Farms, Sunny Farms, Sunny Meadow, more",Eggs ,Salmonella,"Hillandale Farms of Iowa, Inc."
2010-08-20T00:00:00.0000000,"CRF, Alta Dena Dairy, Driftwood Dairy, more",Eggs ,Salmonella,Luberski Inc.
2010-08-19T00:00:00.0000000,"Country Eggs, Inc.",Eggs ,Salmonella,"Country Eggs, Inc."
2010-08-19T00:00:00.0000000,AustiNuts,Pistachio kernel products ,Salmonella,"AustiNuts Wholesale, Inc."
2010-08-19T00:00:00.0000000,"Snow White Food Products, Inc.",Sprouts ,Salmonella,"Snow White Food Products, Inc."
2010-08-18T00:00:00.0000000,"Albertsons, Farm Fresh, James Farms, more",Eggs ,Salmonella,Wright County Egg
2010-08-18T00:00:00.0000000,Moonstruck,Candy ,Undeclared peanuts,Moonstruck Chocolate Co.
2010-08-18T00:00:00.0000000,Don Wands,"Dietary supplement, Mr. Magic Male Enhancer ","Undeclared drug substance: Sulfoaildenafil and Hydroxythiosildenofil, analogues of Sildenafil","Glow Industries, Inc."
2010-08-18T00:00:00.0000000,Slim-30,Slim-30 Herb Supplement ,Undeclared drug substance: Desmethyl Sibutramine,J & H Besta Corp.
2010-08-18T00:00:00.0000000,Fruiti Pops,Frozen Mamey Fruit Bars ,Salmonella Typhi,"Fruiti Pops, Inc."
2010-08-18T00:00:00.0000000,La Nuestra,Mamey pulp ,Salmonella,"Montalvan’s Sales, Inc."
2010-08-17T00:00:00.0000000,"Equate, Meijer, Walborn, Safeway, Equaline, Top Care, Your Life, CVS, Longs Wellness, Trader Darwin’s, Target, Safeway Select, Premier Value, Sunmark, Target Up & Up","Dietary supplement: Air Shield, Air Protector, Immune System Support, and AirHealth Effervescent Tablets and Stick Packs ",Undeclared Soy,"NBTY Acquisition, LLC, dba Leiner Health Products"
2010-08-17T00:00:00.0000000,"Bayview, Mountain Dairy, Nulaid, more",Eggs ,Salmonella,NuCal Foods
2010-08-17T00:00:00.0000000,NY Fish,Smoked Herring ,Clostridium botulinum,"NY Fish, Inc."
2010-08-17T00:00:00.0000000,Golden Bridge,Dried Dates ,Undeclared Sulfites,"Sunny Lake Trading, Inc."
2010-08-16T00:00:00.0000000,Food City,Low carb white and whole wheat tortillas ,Undeclared Soy,Elie Baking Corp. dba Near East Baking Corporation
2010-08-14T00:00:00.0000000,Kroger,Meals Made Simple Shrimp Linguini ,Undeclared milk product,"Contessa Premium Foods, Inc., Kroger Co."
2010-08-13T00:00:00.0000000,Goya Foods,Frozen Mamey Pulp ,Potentially contaminated with Salmonella,"Goya Foods, Inc."
2010-08-13T00:00:00.0000000,1-Lucerne; 2-Albertson; 3-Mountain Dairy; 4-Ralph’s; 5-Boomsma’s; 6-Sunshine; 7-Hillandale; 8-Trafficanda; 9-Farm Fresh; 10-Shoreland; 11-Lund; 12-Dutch Farms; and 13-Kemps,Shell eggs ,Potentially contaminated with Salmonella,Wright County Egg
2010-08-13T00:00:00.0000000,Merrick,"Dog treats - Texas Hold'ems, Beef Filet Squares ",Potentially contaminated with Salmonella,"Merrick Petcare, Inc."
2010-08-10T00:00:00.0000000,Novacare,"Dietary Supplement: Stiff Nights, Aziffa, Size Matters, Erex, Mojo, Hard Drive, Eyeful, Red Magic, Straight Up, Zotrex, Monster Excyte, WOW, Xaitrex, Verect, Prolatis, Xytamax, Maxyte, Libidinal, OMG, OMG45, Zilex (with Golden Spear) ",Undeclared drug substance: Sulfoaildenafil,"Novacare, LLC"
2010-08-10T00:00:00.0000000,Fresh Express,Veggie Lovers Salad ,Listeria monocytogenes,Fresh Express
2010-08-09T00:00:00.0000000,INOMAX,Nitric Oxide drug-delivery system ,Potential failure of a pressure switch which may have an impact on administration,"Ikaria, Inc."
2010-08-09T00:00:00.0000000,Golden Smell,Dried Potatoes ,Undeclared Sulfites,"Strong America, Ltd."
2010-08-09T00:00:00.0000000,Prolatis’,Dietary supplement ,"Undeclared drug substance: Sulfoaildenafil, an analogue of Sildenafil",Prolatis’
2010-08-06T00:00:00.0000000,EZVille,Solo Slim® and Solo Slim® Extra Strength capsules ,Undeclared drug substance: Didesmethyl sibutramine,"EZVille, Ltd"
2010-08-06T00:00:00.0000000,Rehmat,Dried apricots ,Undeclared sulfites,Tiger King Inc.
2010-08-06T00:00:00.0000000,South Bend Chocolate Company,"Bountiful Blend, a blend of chocolate covered mixed nuts and dried fruits ",undeclared tree nuts,South Bend Chocolate Company
2010-08-06T00:00:00.0000000,EZVille,Revivexxx® Extra Strength tablet ,Undeclared drug substance: tadalafil,EZVille Ltd
2010-08-06T00:00:00.0000000,Queso Cotija,Cotija Cheese ,Staphylococcus aureus,Mexicali Cheese Corp.
2010-08-04T00:00:00.0000000,Eugenio Brezzi, ,Under-processed resulting in possible contamination with microorganisms,"Optimus, Inc., d/b/a/ Marky's"
2010-08-03T00:00:00.0000000,Merrick,Texas Hold'ems Beef Filet Squares for Dogs ,Potentially contaminated with Salmonella,"Merrick Petcare, Inc."
2010-07-30T00:00:00.0000000,"Iams, Eukanuba",Dry Pet Food ,Salmonella,The Procter & Gamble Company
2010-07-30T00:00:00.0000000,NeoProfen,Ibuprofen lysine anti-inflammatory injection ,Visible particulate matter,"Lundbeck, Inc."
2010-07-29T00:00:00.0000000,Specialty Farms,Sprouts ,Listeria monocytogenes,"Specialty-Farms, LLC"
2010-07-28T00:00:00.0000000,"Ejaculoid XXTREME, Stimuloid II",Dietary Supplement ,Contains undeclared drug ingredient,"Nutraloid Labs, Inc."
2010-07-28T00:00:00.0000000,Chef's Cupboard,Canned Soup ,"Undeclared egg and wheat, mislabeled",Bay Valley Foods
2010-07-27T00:00:00.0000000,Mice Direct,"Reptile feed - mice, rats, chicks ",Salmonella,"Biggers & Callaham LLC., D/B/A Mice Direct"
2010-07-25T00:00:00.0000000,Iams,cat food ,Salmonella,The Procter & Gamble Company
2010-07-23T00:00:00.0000000,,Corn and poblano pepper blend ,Listeria monocytogenes,"Pasco Processing, LLC"
2010-07-23T00:00:00.0000000,Specialty Farms,sprouts ,Listeria monocytogenes,"Specialty-Farms, LLC"
2010-07-23T00:00:00.0000000,Oregon Ice Cream Co., ,Undeclared peanuts,Oregon Ice Cream Company LLC
2010-07-23T00:00:00.0000000,Airgas South,Medical Gas Products ,"Does not comply with GMP's, Chemical contamination","Airgas South, Inc."
2010-07-23T00:00:00.0000000,KCB,Cake Rusk ,Undeclared egg,"Kashmir Crown Baking, LLC"
2010-07-22T00:00:00.0000000,Chepito,Candy ,undeclared eggs,Dulcería Chepito
2010-07-22T00:00:00.0000000,Joyful Slim Herb Supplement, ,Contains undeclared drug ingredient,J & H Besta Corp.
2010-07-22T00:00:00.0000000,Raquel's,"hummus, salads, wraps, sandwiches, and other food items ","Listeria monocytogenes, undeclared soy",Quong Hop & Co.
2010-07-22T00:00:00.0000000,PreserVision,Vitamins ,"Difficulty swallowing, Choking hazard",Bausch + Lomb
2010-07-21T00:00:00.0000000,DeBoles,Gluten Free Tubettini Corn Pasta ,Undeclared wheat,"DeBoles Nutritional Foods, Inc."
2010-07-20T00:00:00.0000000,"Ciaglia Blue Rhino, Ciaglia Blue Dolphin",Tracheostomy Introducer Sets and Trays ,Air leakage,Cook Medical
2010-07-16T00:00:00.0000000,Slim-30 Herb Supplement,Dietary Supplement ,Contains undeclared drug ingredient,J & H Besta Corp.
2010-07-16T00:00:00.0000000,"Good Health, Inc.",Dietary supplement Vialipro ,Adulterated: Undeclared drug substance (Sulfoaildenafil),"Good Health, Inc."
2010-07-15T00:00:00.0000000,Feline’s Pride,Cat Food ,Salmonella,Feline’s Pride
2010-07-15T00:00:00.0000000,Haifa,herring ,potential for botulism,"D & M Smoked Fish, Inc."
2010-07-13T00:00:00.0000000,Diamond,Dry Apricot Rolled ,Undeclared sulfites,Diamond USA Inc.
2010-07-13T00:00:00.0000000,Fresh Express,Romaine-based ready-to-eat salads ,E. coli O157:H7,Fresh Express
2010-07-12T00:00:00.0000000,Coumadin,Coumadin Tablets ,Subpotent,Bristol-Myers Squibb
2010-07-10T00:00:00.0000000,Quality Food Center,Broccoli Raisin Salad Kit ,Undeclared walnuts,Quality Food Center
2010-07-08T00:00:00.0000000,Miravalle,Chile Peppers ,Salmonella,Miravalle Foods Inc.
2010-07-08T00:00:00.0000000,Señor Mexicano,Avocado Pulp ,Listeria monocytogenes,"J. Hellman Frozen Foods, Inc."
2010-07-08T00:00:00.0000000,Benadryl; Tylenol; Motrin,Over the counter (OTC) products ,"Uncharacteristic smell caused by the presence of trace amounts of a chemical called 2,4,6-tribromoanisole (TBA)",McNeil Consumer Healthcare
2010-07-07T00:00:00.0000000,Ready Pac,Baby Spinach ,E. coli O157:H7,Ready Pac Foods Inc.
2010-07-05T00:00:00.0000000,"Simply Fresh Fruit, Miller's Ale House",Sliced apples ,Listeria monocytogenes,"Marjon Specialty Foods, Inc."
2010-07-02T00:00:00.0000000,Merrick,Pet treats for dogs ,Salmonella,"Merrick Pet Care, Inc."
2010-07-02T00:00:00.0000000,Pro-Pet,Vitamin tablets for dogs ,Salmonella,United Pet Group
2010-07-02T00:00:00.0000000,Fairway and Setton Farms,Trail Mix ,Undeclared peanuts and chocolate flavored chips,"Setton International Foods, Inc."
2010-07-01T00:00:00.0000000,Queso El Azteca,Cheese ,Listeria monocytogenes,Azteca Linda Corp.
2010-07-01T00:00:00.0000000,Feline's Pride,Cat Food ,Salmonella,Feline's Pride
2010-06-30T00:00:00.0000000,Chicken of the Sea,Canned tuna ,Loose can seams,Tri-Union Seafoods LLC
2010-06-30T00:00:00.0000000,Roba Dolce, ,Undeclared peanuts,"I Dolce, Inc. dba Roba Dolce"
2010-06-30T00:00:00.0000000,Fuma,Custard Pie ,Undeclared milk powder,"Domega NY International Co., LTD"
2010-06-29T00:00:00.0000000,Champion Nutrition,Whey Protein ,Undeclared peanuts,Champion Nutrition
2010-06-25T00:00:00.0000000,Pure Base,Garlic Spread ,Allergens,"Pure Base Distribution, LLC"
2010-06-25T00:00:00.0000000,Kellogg,Cereal ,Off odor,Kellogg Company
2010-06-25T00:00:00.0000000,Magic Power Coffee, ,"Contains undeclared hydroxythiohomosildenafil, an analog of Sildenafil",INZ Distributors Inc./Magic Power Coffee Inc.
2010-06-24T00:00:00.0000000,"Krisp-Pak, Lancaster Fresh, Giant, and America's Choice",Fresh Spinach ,Listeria monocytogenes,"Lancaster Foods, LLC"
2010-06-24T00:00:00.0000000,Sinex,Nasal Spray ,may not meet package expiration date,The Procter & Gamble Company
2010-06-22T00:00:00.0000000,Pro-Pet,Vitamin tablets for dogs ,Salmonella,United Pet Group
2010-06-18T00:00:00.0000000,Natural Balance,Sweet Potato & Chicken Dry Dog Food ,Salmonella,"Natural Balance Pet Foods, Inc.,"
2010-06-18T00:00:00.0000000,Allen,Bavarian Crème Filling ,Allergens,Rich Products Corporation
